Title:
  Anchors defined for website

Table:
  Name|Lat|Lon|Link
  Allesley Hotel|52.4227875|-1.56006709999997|/Users/peter/Website/Articles/Diary/2004/coventry/index.html#1
  Arrowtown|-44.9416876|168.8358624|/Users/peter/Website/Articles/Diary/2006/new_zealand/index.html#1
  Barna Mia|-32.7674229|116.9263651|/Users/peter/Website/Articles/Diary/2003/dryandra/index.html#1
  Biggin Hill|51.3318849|0.0287677000000031|/Users/peter/Website/Articles/Diary/2005/biggin_hill/index.html#1
  Blakeney Point|52.9666526|0.961510299999986|/Users/peter/Website/Articles/Diary/2005/north_norfolk/index.html#1
  Blickling Estate|52.811731|1.23164700000007|/Users/peter/Website/Articles/Diary/2005/north_norfolk/index.html#1
  Brading Roman Villa|50.6730117|-1.15274539999996|/Users/peter/Website/Articles/Diary/2006/isle_of_wight/index.html#1
  Bruce Belcher's Daintree River Cruises|-16.2601457|145.3647323|/Users/peter/Website/Articles/Diary/2002/daintree/index.html#1
  Bryce Canyon|37.5930377|-112.1870895|/Users/peter/Website/Articles/Diary/2001/Utah/index.html#1
  Cairns|-16.9185514|145.7780548|/Users/peter/Website/Articles/Diary/2002/cairns/index.html#1
  Caithness Crystal Kings Lynn|52.742053|0.409890000000019|/Users/peter/Website/Articles/Diary/2005/north_norfolk/index.html#1
  Canterbury Cathedral|51.2797971|1.08279979999998|/Users/peter/Website/Articles/Diary/2005/kent/index.html#1
  Cardrona Pass|-44.9923868|168.938739|/Users/peter/Website/Articles/Diary/2006/new_zealand/index.html#1
  Cascade Creek|-44.8959434|168.0807425|/Users/peter/Website/Articles/Diary/2006/new_zealand/index.html#1
  Castlerigg Stone Circle|54.602824|-3.09840199999996|/Users/peter/Website/Articles/Diary/2004/wedding/index.html#1
  Cedar Breaks|37.6359544|-112.8450248|/Users/peter/Website/Articles/Diary/2001/Utah/index.html#1
  Cervantes|-30.505162|115.0665341|/Users/peter/Website/Articles/Diary/2003/pinnacles/index.html#1
  Chambers Wildlife Rainforest Lodges|-17.2860841|145.635521|/Users/peter/Website/Articles/Diary/2002/atherton/index.html#1
  Coniston Water|54.343243|-3.07162659999995|/Users/peter/Website/Articles/Diary/2004/wedding/index.html#1
  Conspicuous Cliffs|-35.0389989|116.8432987|/Users/peter/Website/Articles/Diary/2003/walpole/index.html#1
  Cooper Creek Wilderness|-16.171689|145.419137|/Users/peter/Website/Articles/Diary/2002/daintree/index.html#1
  Crich Tramway Museum|53.0903012|-1.48666930000002|/Users/peter/Website/Articles/Diary/2001/peak_district/index.html#1
